OIIIHb,SIIHa,OIHa,NIIHa,OIOIII,NIISII,SIISIII,NIIOI,SIIOI,label
0.021313365484695,-0.6080430731452354,-1.551718948403487,-1.4197222796651865,-1.0704959511709626,-0.8116792065199507,1.5982450466230502,0.1319966687383007,0.9436758752582516,1
-0.0083841205768005,-0.5832923965570934,-1.525547606326816,-1.4098891897927446,-1.020316831813162,-0.826596793235651,1.6584024063908296,0.1156584165340713,0.9422552097697224,1
0.0107662335184251,-0.5960155778475437,-1.5460302765853255,-1.425618495507289,-1.057576957922948,-0.8296029176597453,1.6242447036490413,0.1204117810780366,0.950014698737782,1
-0.0629186277484314,-0.6120967491658771,-1.5795649541613157,-1.4067277748141571,-1.020048750089175,-0.79463102564828,1.6769741716944977,0.1728371793471583,0.9674682049954384,1
-0.3331919626873668,-0.8486096226314099,-2.005240419322539,-1.531020454421238,-1.1577265426901096,-0.6824108317898281,1.5838611197961985,0.474219964901301,1.1566307966911291,1
0.0161136663589084,-0.6104135281250845,-1.5686641312330003,-1.4304144623059092,-1.0835130818584264,-0.8200009341808246,1.6023560358348423,0.1382496689270913,0.958250603107916,1
-0.0922555212484229,-0.643245123858136,-1.6363015636370817,-1.4186188842335627,-1.046245912107471,-0.7753737603754267,1.6698068087951108,0.2176826794035188,0.9930564397789456,1
-0.0416416072193387,-0.5948932168093214,-1.5479876516558386,-1.4034470990562051,-1.0101362063406154,-0.808553882246884,1.6763694025094764,0.1445405525996331,0.9530944348465172,1
0.7231107266088566,-0.3405135671733834,-1.3218792529560557,-0.1534541665515088,-1.5357874572338093,0.1870594006218746,1.4663963118652508,1.168425086404547,0.9813656857826722,1
0.6255182289716377,-0.5483678278961316,-1.6226067800850814,-0.3251869642626321,-1.7235860931119849,0.2231808636334995,1.3865788939908008,1.2974198158224493,1.07423895218895,1
0.716912738899844,-0.4070435134865382,-1.4458918077307663,-0.1970390736434061,-1.64861553386839,0.210004439843132,1.4173307021349932,1.2488527340873603,1.0388482942442283,1
0.5264297459834226,-0.6682416061926816,-1.7791668358470285,-0.4350871098387101,-1.7875303275388434,0.2331544963539713,1.3881160780345605,1.3440797260083184,1.110925229654347,1
0.4735453586747535,-0.639981728117182,-1.7494635136616568,-0.3968323898531371,-1.7033121051765572,0.2431493382640448,1.4123585568047727,1.3526311238085196,1.1094817855444743,1
0.7312824755670886,-0.3379784992392307,-1.3255951293330543,-0.1486040525933246,-1.5475003242900274,0.1893744466459061,1.4618744254945435,1.1769910767397298,0.9876166300938236,1
0.525757243152311,-0.665107447083577,-1.778713936403198,-0.4317829356181151,-1.787262081365966,0.2333245114654619,1.396465116158362,1.346931000785083,1.1136064893196211,1
0.5510106015735106,-0.6498688326269031,-1.74800908064809,-0.4173893049961582,-1.7754292773923956,0.2324795276307449,1.3721830695523265,1.3306197756519318,1.0981402480211868,1
0.7029730655378194,-0.350605414769108,-1.322255733759882,-0.1727117067118211,-1.5176292639556308,0.1778937080572869,1.4745241220893632,1.149544027048061,0.971650318990774,1
0.522261608845393,-0.6643551186260448,-1.772967901610289,-0.4350839523322882,-1.7809208847989064,0.2292711662937565,1.392692474565314,1.3378839492780008,1.1086127829842445,1
0.7090833099619618,-0.3588386284847183,-1.3439402002535066,-0.1743766282140527,-1.5440765303935935,0.1844620002706656,1.4624456444513203,1.169563572039454,0.9851015717687884,1
0.7052819837808865,-0.3490776562779349,-1.321410175763219,-0.1708307269321727,-1.519173603967681,0.1782469293457622,1.4738827694647474,1.1505794488310463,0.972332519485284,1
0.5266622930104643,-0.6636320991653469,-1.767592647122333,-0.4338249080623311,-1.7789243040990708,0.2298071911030159,1.3841644230187875,1.3337677390600022,1.1039605479569865,1
-2.9884295564027217,-1.0916202363156378,-1.4354430387277388,-0.8790268677610903,2.128151261217926,0.2125933685545473,1.978150306942319,0.5564161709666486,0.3438228024121011,1
0.5264685124694775,-0.6557710316575184,-1.7696692325933396,-0.4234780926319015,-1.782214656738323,0.2322929390256168,1.406749443069483,1.346191139961438,1.1138982009358214,1
0.5541498295508684,-0.6308391698374534,-1.7181363182975724,-0.4064335964623418,-1.7521564832488268,0.2244055733751115,1.379617629479025,1.3117027218352306,1.087297148460119,1
0.6457267582611361,-0.4893556358634616,-1.5336819841251508,-0.2812612903702812,-1.6613029678566686,0.2080943454931804,1.412442703530365,1.2524206937548694,1.044326348261689,1
0.5647725539292873,-0.6118382354921718,-1.6913177816568947,-0.3910521121068939,-1.7343378721794176,0.2207861233852778,1.385232565063431,1.3002656695500008,1.0794795461647229,1
0.4711156100298703,-0.6397823954874354,-1.7483979735593609,-0.3979498970924869,-1.701789988755496,0.2418324983949485,1.4136901769667405,1.3504480764668745,1.1086155780719256,1
0.7029644592562851,-0.3506205422899098,-1.322284077338414,-0.1727358107485641,-1.5176490012526287,0.1778847315413458,1.4745180169009755,1.1495482665898502,0.9716635350485044,1
0.5824383768139061,-0.583965124183202,-1.6531016286894358,-0.3665955703168138,-1.713265349492223,0.2173695538663882,1.3919149485291724,1.286506058372622,1.0691365045062338,1
-1.023200825089426,-0.7315484889264089,-1.7959655217870234,-0.4209449803419605,-0.2376225429998439,0.3106035085844484,1.5638688604848785,1.375020541445063,1.0644170328606146,1
0.5425515733400317,-0.6479242375557063,-1.7419639245955816,-0.4203681166568027,-1.765988397818277,0.2275561208989036,1.3774097911079437,1.3215958079387788,1.0940396870398754,1
0.5212819526216741,-0.6627389427832255,-1.7740707023692963,-0.4322284777776874,-1.7814960732257563,0.230510465005538,1.3998532843601117,1.341842224591609,1.1113317595860712,1
